ecosystem,habitat,notes,trophic_position,organ,species,genus,species1,phylum,class,order,family,original_study,name_of_data_extractor,study_number,date_data_extracted,data_from,reference,reference_notes,source,common_name,dha,epa,ala,fa_id
Terrestrial,NA,Terrestrial plants,Producer,NA,Heracleum_sphondylium,Heracleum,sphondylium,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,cow parsnip,NA,NA,0.3,3673
Terrestrial,NA,Terrestrial plants,Producer,NA,Juncus_bufonius,Juncus,bufonius,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,toad rush,NA,NA,1.6,3674
Terrestrial,NA,Terrestrial plants,Producer,NA,Kandis_perfoliata,Kandis,perfoliata,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,Cotswold pennycress,NA,NA,4.6,3675
Terrestrial,NA,Terrestrial plants,Producer,NA,Kickxia_spuria,Kickxia,spuria,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,blunt-leaf fluellen,NA,NA,0.3,3676
Terrestrial,NA,Terrestrial plants,Producer,NA,Knautia_arvensis,Knautia,arvensis,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,field scabious,NA,NA,1,3677
Terrestrial,NA,Terrestrial plants,Producer,NA,Lactuca_serriola,Lactuca,serriola,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,China lettuce,NA,NA,0.3,3678
Terrestrial,NA,Terrestrial plants,Producer,NA,Lamium_purpureum,Lamium,purpureum,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,purple archangel,NA,NA,13.9,3679
Terrestrial,NA,Terrestrial plants,Producer,NA,Lapsana_communis,Lapsana,communis,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,nipplewort,NA,NA,2.1,3680
Terrestrial,NA,Terrestrial plants,Producer,NA,Lathyrus_aphaca,Lathyrus,aphaca,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,yellow lathyrus,NA,NA,6.9,3681
Terrestrial,NA,Terrestrial plants,Producer,NA,Lathyrus_tuberosus,Lathyrus,tuberosus,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,earthnut pea,NA,NA,10.5,3682
Terrestrial,NA,Terrestrial plants,Producer,NA,Legousia_hybrida,Legousia,hybrida,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,Venus's looking-glass,NA,NA,11.6,3683
Terrestrial,NA,Terrestrial plants,Producer,NA,Legousia_speculum_veneris,Legousia,speculum,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,Venus's looking-glass,NA,NA,21.2,3684
Terrestrial,NA,Terrestrial plants,Producer,NA,Lepidium__campestre,Lepidium,,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,field pepperweed,NA,NA,35.7,3685
Terrestrial,NA,Terrestrial plants,Producer,NA,Linaria_vulgaris,Linaria,vulgaris,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,butter-and-eggs,NA,NA,1,3686
Terrestrial,NA,Terrestrial plants,Producer,NA,Lithospermum_arvense,Lithospermum,arvense,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,bastard alkanet,NA,NA,45.1,3687
Terrestrial,NA,Terrestrial plants,Producer,NA,Lolium_multiflorum,Lolium,multiflorum,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,Italian ryegrass,NA,NA,2.7,3688
Terrestrial,NA,Terrestrial plants,Producer,NA,Lolium_temulentum,Lolium,temulentum,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,bearded darnel,NA,NA,5.4,3689
Terrestrial,NA,Terrestrial plants,Producer,NA,Lythrum_hyssopifolia,Lythrum,hyssopifolia,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,hyssop lythrum,NA,NA,0.1,3690
Terrestrial,NA,Terrestrial plants,Producer,NA,Malva_sylvestris,Malva,sylvestris,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,common mallow,NA,NA,0.9,3691
Terrestrial,NA,Terrestrial plants,Producer,NA,Matricaria_discoidea,Matricaria,discoidea,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,common matricary,NA,NA,0.2,3692
Terrestrial,NA,Terrestrial plants,Producer,NA,Matricaria_perforata,Matricaria,perforata,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,scentless mayweed,NA,NA,0.2,3693
Terrestrial,NA,Terrestrial plants,Producer,NA,Matricaria_perforata,Matricaria,perforata,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,scentless mayweed,NA,NA,0.3,3694
Terrestrial,NA,Terrestrial plants,Producer,NA,Matricaria_recutita,Matricaria,recutita,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,chamomile,NA,NA,0.3,3695
Terrestrial,NA,Terrestrial plants,Producer,NA,Matricaria_recutita,Matricaria,recutita,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,chamomile,NA,NA,0.3,3696
Terrestrial,NA,Terrestrial plants,Producer,NA,Melampyrum_arvense,Melampyrum,arvense,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,field cow-wheat,NA,NA,16.4,3697
Terrestrial,NA,Terrestrial plants,Producer,NA,Mentha_arvensis,Mentha,arvensis,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,wild mint,NA,NA,7.7,3698
Terrestrial,NA,Terrestrial plants,Producer,NA,Mercurialis_annua,Mercurialis,annua,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,annual mercury,NA,NA,71.1,3699
Terrestrial,NA,Terrestrial plants,Producer,NA,Misopates_orontium,Misopates,orontium,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,corn snapdragon,NA,NA,0.4,3700
Terrestrial,NA,Terrestrial plants,Producer,NA,Muscari_comosum,Muscari,comosum,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,edible muscari,NA,NA,0.4,3701
Terrestrial,NA,Terrestrial plants,Producer,NA,Muscari_neglectum,Muscari,neglectum,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,grape hyacinth,NA,NA,0.5,3702
Terrestrial,NA,Terrestrial plants,Producer,NA,Myagrum__perfoliatum,Myagrum,,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,muskweed,NA,NA,29.2,3703
Terrestrial,NA,Terrestrial plants,Producer,NA,Myosotis_arvensis,Myosotis,arvensis,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,Field Forgetmenot,NA,NA,17.8,3704
Terrestrial,NA,Terrestrial plants,Producer,NA,Neslia__paniculata,Neslia,,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,ball mustard,NA,NA,10,3705
Terrestrial,NA,Terrestrial plants,Producer,NA,Nigella_arvensis,Nigella,arvensis,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,wild fennel,NA,NA,0.5,3706
Terrestrial,NA,Terrestrial plants,Producer,NA,Odontites_vernus,Odontites,vernus,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,red bartsia,NA,NA,53.6,3707
Terrestrial,NA,Terrestrial plants,Producer,NA,Oxalis_corniculata,Oxalis,corniculata,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,creeping woodsorrel,NA,NA,0.7,3708
Terrestrial,NA,Terrestrial plants,Producer,NA,Panicum_capillare,Panicum,capillare,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,witchgrass,NA,NA,1.6,3709
Terrestrial,NA,Terrestrial plants,Producer,NA,Panicum_capillare,Panicum,capillare,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,witchgrass,NA,NA,1.6,3710
Terrestrial,NA,Terrestrial plants,Producer,NA,Panicum_capillare,Panicum,capillare,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,witchgrass,NA,NA,1.1,3711
Terrestrial,NA,Terrestrial plants,Producer,NA,Panicum_dichotomiflorum,Panicum,dichotomiflorum,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,fall panicum,NA,NA,2.6,3712
Terrestrial,NA,Terrestrial plants,Producer,NA,Panicum_miliaceum,Panicum,miliaceum,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,broomtail millet,NA,NA,1.5,3713
Terrestrial,NA,Terrestrial plants,Producer,NA,Papaver_dubium,Papaver,dubium,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,long-headed poppy,NA,NA,0.5,3714
Terrestrial,NA,Terrestrial plants,Producer,NA,Papaver_rhoeas,Papaver,rhoeas,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,headache,NA,NA,0.6,3715
Terrestrial,NA,Terrestrial plants,Producer,NA,Papaver_rhoeas,Papaver,rhoeas,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,headache,NA,NA,0.5,3716
Terrestrial,NA,Terrestrial plants,Producer,NA,Papaver_rhoeas,Papaver,rhoeas,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,headache,NA,NA,0.6,3717
Terrestrial,NA,Terrestrial plants,Producer,NA,Papaver_rhoeas,Papaver,rhoeas,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,headache,NA,NA,0.6,3718
Terrestrial,NA,Terrestrial plants,Producer,NA,Phacelia_tanacetifolia,Phacelia,tanacetifolia,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,lacy phacelia,NA,NA,1.6,3719
Terrestrial,NA,Terrestrial plants,Producer,NA,Phleum_pratense,Phleum,pratense,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,timothy grass,NA,NA,3.2,3720
Terrestrial,NA,Terrestrial plants,Producer,NA,Picris_echioides,Picris,echioides,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,bristly ox-tongue,NA,NA,0.3,3721
Terrestrial,NA,Terrestrial plants,Producer,NA,Picris_echioides,Picris,echioides,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,bristly ox-tongue,NA,NA,0.3,3722
Terrestrial,NA,Terrestrial plants,Producer,NA,Plantago_lanceolata,Plantago,lanceolata,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,buckhorn,NA,NA,6.6,3723
Terrestrial,NA,Terrestrial plants,Producer,NA,Plantago_major,Plantago,major,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,plantain,NA,NA,2.2,3724
Terrestrial,NA,Terrestrial plants,Producer,NA,Plantago_media,Plantago,media,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,cotton flower,NA,NA,37.4,3725
Terrestrial,NA,Terrestrial plants,Producer,NA,Poa_annua,Poa,annua,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,annual bluegrass,NA,NA,8.1,3726
Terrestrial,NA,Terrestrial plants,Producer,NA,Poa_annua,Poa,annua,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,annual bluegrass,NA,NA,5.6,3727
Terrestrial,NA,Terrestrial plants,Producer,NA,Poa_trivialis,Poa,trivialis,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,rough bluegrass,NA,NA,1.4,3728
Terrestrial,NA,Terrestrial plants,Producer,NA,Polygonum_aviculare,Polygonum,aviculare,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,knotweed,NA,NA,1.4,3729
Terrestrial,NA,Terrestrial plants,Producer,NA,Polygonum_hydropiper,Polygonum,hydropiper,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,water pepper,NA,NA,5.6,3730
Terrestrial,NA,Terrestrial plants,Producer,NA,Polygonum_lapathifolium,Polygonum,lapathifolium,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,curlytop knotweed,NA,NA,8.8,3731
Terrestrial,NA,Terrestrial plants,Producer,NA,Polygonum_persicaria,Polygonum,persicaria,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,Jesusplant,NA,NA,3.9,3732
Terrestrial,NA,Terrestrial plants,Producer,NA,Polygonum_persicaria,Polygonum,persicaria,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,Jesusplant,NA,NA,6.6,3733
Terrestrial,NA,Terrestrial plants,Producer,NA,Potentilla_reptans,Potentilla,reptans,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,creeping cinquefoil,NA,NA,45.2,3734
Terrestrial,NA,Terrestrial plants,Producer,NA,Ranunculus_acris,Ranunculus,acris,NA,NA,NA,NA,Bretagnolle et al. 2015,Lily,2,24_06_20,Columbo et al 2017,"Bretagnolle, F., Matejicek, A., Grégoire, S., Reboud, X., & Gaba, S. (2016). Determination of fatty acids content, global antioxidant activity and energy value of weed seeds from agricultural fields in France. Weed Research, 56(1), 78-95.",,NA,meadow buttercup,NA,NA,28.8,3735
