Source ecosystem,ID,Taxa,Phyto Class,18:3n3,20:5n3,22:6n3,Study
Terrestrial,Plant greens,Thuja plicata,,32,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Thuja standishii,,28.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Thujopsis dolabrata,,29,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Microbiota decussata,,12.7,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Callitris preissiii,,37.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Diselma archeri,,26,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Tetraclinis articulata,,28.8,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Widdringtonia schwarzii,,33,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Juniperus communis,,21.3,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Juniperus chinensis,,22.7,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Juniperus sabina,,24.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Torreya californica,,35.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Taxus baccata,,37.425,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Taxus brevifolia,,52.1,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Taxus cuspidata,,40.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Ephedra chilensis,,29.8,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Ephedra distachya,,28.4,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Ephedra equisetina,,37.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Ephedra fragilis,,43.2,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Ephedra gerardiana,,37.5,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Gnetum gnemon,,29.9,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Plant greens,Welwitschia mirabilis,,45.6,0,0,Mongrand et al. 2001 (Phytochemistry)
Terrestrial,Conifer seeds,Abies balsamea,,0.430,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Abies bornmulleriana,,0.340,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Abies cephalonica,,0.390,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Abies equi-trojani,,0.310,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Abies fraserii,,0.460,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Abies grandis,,0.620,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Abies lasiocarpa,,0.440,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Abies nordmanniana,,0.470,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Abies pinsapo,,0.290,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Seeds,Arrowgrass,,5.67,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Seeds,Bulrush,,3.16,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Seeds,Cattail,,3.11,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Conifer seeds,Cedrus atlantica glauca,,0.140,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Cedrus deodora,,0.180,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Cedrus libani,,0.110,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Cupressus macrocarpa,,37.220,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Seeds,Dock,,10.3,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Seeds,Goosefoot,,16.13,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Seeds,Knotweed,,5.88,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Conifer seeds,Larix sibirica,,0.330,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Seeds,Marshelder,,5.13,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Seeds,Native corn,,1.16,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Seeds,Native squash,,0.18,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Seeds,Native sunflower,,0.13,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Conifer seeds,Picea engelmanii,,0.410,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Picea omorika,,0.260,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Picea orientalis,,0.310,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Picea pungens glauca,,0.370,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus brutia,,0.600,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus cembra,,0.260,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus halepensis,,0.500,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus koekelare,,0.560,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus laricio,,0.700,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus ponderosa,,0.580,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus pumilia,,0.300,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus radiata,,0.370,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus salzmannii,,0.510,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus sibirica,,0.200,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus strobus,,0.240,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus sylvestris,,0.380,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus thunbergii,,0.640,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Pinus uncinata,,0.290,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Thuya plicata,,28.530,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Conifer seeds,Tsuga heterophylla,,0.820,0.000,0.000,Wolff et al 1997 (Trees)
Terrestrial,Lichen,Anaptychia ciliaris,,14.080,4.98,0.84,Dembitsky et al 1992 (Phytochemistry)
Terrestrial,Lichen,Diploschistes,,6.930,3.6,8.13,Dembitsky et al 1992 (Phytochemistry)
Terrestrial,Lichen,Peltigera aphthosa,,9.260,5.61,5.77,Dembitsky et al 1992 (Phytochemistry)
Terrestrial,Lichen,Peltigera spuria,,2.290,0,0.11,Dembitsky et al 1992 (Phytochemistry)
Terrestrial,Lichen,Umbilicaria deusta,,4.190,5.95,5.75,Dembitsky et al 1992 (Phytochemistry)
Terrestrial,Berries,Bearberry,,40.6,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Berries,Blueberry,,28.76,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Berries,Chokecherry,,1.05,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Berries,Gooseberry,,22.41,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Berries,Hawthorn,,2.13,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Berries,Juniper berry,,20.66,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Berries,Pincherry,,0.65,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Berries,Red osier,,14.76,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Berries,Rosehips,,39.33,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Berries,Saskatoon,,2.64,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Berries,Silverberry,,18.38,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Nut,Acorn,,5.79,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Nut,Hazelnut,,0.53,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Pod,Vetchling,,9.54,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Bean,Native redbean,,35.35,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Arrow head,,13.22,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Bulrush,,8.21,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Burreed,,3.73,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Cattail,,4.65,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Cow parsnip,,6.14,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,False solomon's seal,,6.02,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Fireweed,,16.7,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Giant reed,,6.82,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Jerusalem artichoke,,8.26,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Ostrich fern,,6.5,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Prairie turnip,,8.81,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Sarsaparilla,,13.68,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Tiger lily,,3.08,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Water parsnip,,5.72,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Water-hore hound,,11.25,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Wild calla,,12.85,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Wild onion,,5.33,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Roots,Wound wort,,12.17,0,0,Malainey et al 1999 (J Arch Sci)
Terrestrial,Moss,Ctenidium molluscum,,12.6,5.3,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Ctenidium molluscum,,6.3,2.6,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Ctenidium molluscum,,7.8,5,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Pogonatum urnigerum,,5.6,0.4,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Pogonatum urnigerum,,4.5,0.3,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Pogonatum urnigerum,,9.3,3.9,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Dichodontium pellucidum,,29,1.1,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Dichodontium pellucidum,,17.9,2.2,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Dichodontium pellucidum,,15,1.9,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Tortella tortuousa,,22.6,1.8,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Tortella tortuousa,,17.8,1.5,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,Tortella tortuousa,,21,1.9,0,Al-Hassan et al 1991 (Bryologist)
Terrestrial,Moss,F. antipyretica,,11.78181818,3.739545455,0.148181818,Kalacheva et al. 2009 (Russian J Plant Phys)
